total(digi),L(digi),R(digi),C(digi),total(loadcell),L(loadcell),R(loadcell),C(loadcell)
11,0,0,11,10,0,0,10
11,0,11,0,19,0,14,5
11,11,0,0,13,12,1,0
39,11,0,28,44,15,0,29
39,11,28,0,36,3,24,9
39,0,28,11,36,0,21,15
39,28,0,11,35,24,6,5
111,40,23,48,105,32,25,48
156,76,36,44,147,64,40,43
158,65,64,29,147,65,53,29
102,37,13,52,99,38,11,50
221,52,132,37,211,61,117,33
186,42,25,119,179,40,28,111
206,34,41,131,198,41,33,124
26,26,0,0,27,21,6,0
29,29,0,0,30,24,6,0
38,38,0,0,37,30,7,0
44,44,0,0,43,34,9,0
55,55,0,0,52,43,9,0
59,59,0,0,57,49,8,0
72,72,0,0,69,58,11,0
88,88,0,0,84,72,12,0
106,106,0,0,101,84,17,0
111,111,0,0,109,91,18,0
124,124,0,0,120,101,19,0
138,138,0,0,132,111,21,0
159,159,0,0,152,127,25,0
22,0,22,0,19,1,17,1
39,0,39,0,35,4,29,2
54,0,54,0,49,6,40,3
72,0,72,0,64,9,53,2
82,0,82,0,73,10,62,1
91,0,91,0,82,11,69,2
106,0,106,0,96,14,80,2
116,0,116,0,105,15,88,2
134,0,134,0,121,17,101,3
158,0,158,0,140,2,134,4
30,0,0,30,28,1,1,26
41,0,0,41,40,2,2,36
54,0,0,54,55,6,0,49
64,0,0,64,65,5,0,60
80,0,0,80,79,4,1,74
98,0,0,98,100,8,0,92
108,0,0,108,107,5,0,102
126,0,0,126,124,4,0,120
145,0,0,145,143,2,3,138
160,0,0,160,158,7,0,151
165,0,0,165,162,6,0,156
178,0,0,178,176,9,0,167
192,0,0,192,191,11,0,180
204,0,0,204,201,8,1,192
217,0,0,217,215,10,1,204
242,0,0,242,238,11,0,227
252,0,0,252,248,11,0,237
263,0,0,263,262,13,0,249
285,0,0,285,285,15,0,270
302,0,0,302,300,14,0,286
319,0,0,319,318,16,0,302
335,0,0,335,334,18,0,316
346,0,0,346,342,14,1,327
358,0,0,358,354,13,2,339
20,20,0,0,16,13,2,1
27,27,0,0,22,20,2,0
16,16,0,0,13,12,0,1
43,43,0,0,38,33,5,0
35,35,0,0,31,27,4,0
30,30,0,0,27,24,3,0
29,29,0,0,25,22,3,0
7,7,0,0,6,6,0,0
9,9,0,0,8,7,0,1
4,4,0,0,4,4,0,0
18,18,0,0,15,14,0,1
28,28,0,0,24,22,1,1
50,28,22,0,44,24,18,2
50,22,28,0,44,21,22,1
101,22,28,51,95,25,17,53
101,51,28,22,92,47,30,15
111,51,28,32,101,49,27,25
96,51,17,28,86,45,19,22
86,41,17,28,77,38,17,22
81,41,12,28,73,37,13,23
72,36,8,28,65,33,9,23
69,36,5,28,61,32,7,22
62,36,2,24,56,31,6,19
61,37,0,24,53,31,4,18
49,31,0,18,43,27,1,15
49,31,0,18,43,26,0,17
49,31,0,18,50,32,0,18
49,31,0,18,44,27,0,17
49,31,0,18,44,24,3,17
49,31,0,18,44,25,2,17
49,31,0,18,44,23,7,14
36,36,0,0,32,30,2,0
36,0,36,0,32,6,26,0
36,0,36,0,31,7,23,1
36,0,36,0,30,5,25,0
36,0,36,0,36,8,28,0
36,0,36,0,30,6,23,1
36,0,36,0,34,7,27,0
36,0,36,0,35,8,27,0
36,0,36,0,30,5,25,0
36,0,36,0,32,7,25,0
41,0,0,41,37,2,2,33
41,0,0,41,44,0,0,44
41,0,0,41,37,4,5,28
41,0,0,41,41,2,0,39
41,0,0,41,41,4,0,37
41,0,0,41,39,0,4,35
41,0,0,41,38,5,0,33
41,0,0,41,37,4,1,32
41,0,0,41,43,6,0,37
41,0,0,41,47,8,0,39
41,0,0,41,42,0,5,37
69,0,0,69,70,9,0,61
69,0,0,69,65,6,0,59
69,0,0,69,65,2,2,61
69,0,0,69,71,2,0,69
69,0,0,69,65,5,1,59
69,0,0,69,65,3,1,61
69,0,0,69,65,0,3,62
69,0,0,69,66,1,0,65
69,0,0,69,70,0,0,70
69,0,0,69,67,1,0,66
110,0,0,110,113,0,0,113
110,0,0,110,105,7,7,91
110,0,0,110,103,7,11,85
110,0,0,110,105,5,7,93
110,0,0,110,116,0,3,113
110,0,0,110,105,0,6,99
110,0,0,110,116,16,0,100
110,0,0,110,109,0,15,94
110,0,0,110,109,10,0,99
110,0,0,110,108,0,5,103
154,0,44,110,146,5,35,106
154,0,44,110,145,8,35,102
154,0,44,110,147,7,34,106
154,0,44,110,146,6,39,101
154,0,44,110,146,6,33,107
154,0,44,110,146,8,37,101
154,0,44,110,147,11,26,110
154,0,44,110,147,9,23,115
154,0,44,110,146,12,27,107
154,0,44,110,147,8,24,115
192,38,44,110,182,36,29,117
192,38,44,110,181,38,33,110
192,38,44,110,183,34,29,120
192,38,44,110,182,31,30,121
192,38,44,110,182,35,33,114
192,38,44,110,183,32,32,119
192,38,44,110,182,30,31,121
192,38,44,110,183,29,27,127
192,38,44,110,182,30,32,120
148,38,0,110,144,28,0,116
148,38,0,110,146,28,0,118
148,38,0,110,142,44,8,90
148,38,0,110,142,39,7,96
148,38,0,110,143,34,2,107
148,38,0,110,143,30,3,110
148,38,0,110,142,23,10,109
148,38,0,110,143,23,15,105
148,38,0,110,142,33,6,103
148,38,0,110,143,35,5,103
148,38,0,110,142,36,5,101
138,47,91,0,124,50,74,0
140,49,91,0,128,56,72,0
140,49,91,0,138,61,77,0
140,49,91,0,133,59,74,0
140,49,91,0,133,61,72,0
140,49,91,0,124,57,67,0
92,0,92,0,89,23,66,0
92,0,92,0,88,23,65,0
92,0,92,0,82,10,70,2
92,0,92,0,81,9,71,1
92,0,92,0,81,10,70,1
92,0,92,0,84,13,71,0
92,0,92,0,82,7,67,8
92,0,92,0,83,12,71,0
92,0,92,0,82,7,68,7
67,0,67,0,58,5,49,4
67,0,67,0,60,10,50,0
67,0,67,0,58,6,46,6
67,0,67,0,58,8,46,4
67,0,67,0,60,5,55,0
67,0,67,0,57,3,46,8
118,51,67,0,105,39,56,10
118,51,67,0,105,44,56,5
118,51,67,0,105,40,53,12
118,51,67,0,103,44,51,8
118,51,67,0,102,43,53,6
118,51,67,0,105,40,53,12
118,51,67,0,103,42,53,8
273,59,79,135,257,61,52,144
273,59,79,135,256,54,72,130
273,59,79,135,255,79,45,131
273,59,79,135,256,44,80,132
273,59,79,135,256,42,69,145
273,59,79,135,253,76,67,110
273,59,79,135,254,60,59,135
273,59,79,135,254,69,61,124
273,59,79,135,257,67,50,140
